olgnname,count,mean.control.log.signal,control.sd.log.signal
UniRef90_P06489_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P06489_oligopeptide_16,1,-4.727852165,0.202964529
UniRef90_P06489_oligopeptide_17,1,-4.727852165,0.202964529
UniRef90_P06489_oligopeptide_18,2,-4.57222194,0.177765756
UniRef90_P06489_oligopeptide_19,0,-4.727852165,0.202964529
UniRef90_P06489_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06489_oligopeptide_20,0,-4.727852165,0.202964529
UniRef90_P06489_oligopeptide_21,0,-4.727852165,0.202964529
UniRef90_P06489_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06489_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P06489_oligopeptide_5,0,-4.697749165,0.194775683
UniRef90_P06489_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06489_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06489_oligopeptide_8,1,-4.667646166,0.20014687
UniRef90_P06489_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_1,1,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_10,1,-4.607440165,0.210528888
UniRef90_P06491_oligopeptide_13,1,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_14,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_18,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_19,1,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_20,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_21,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_22,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_24,1,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_25,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_26,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_27,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_28,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_29,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_3,0,-4.63242794,0.221671991
UniRef90_P06491_oligopeptide_30,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_31,0,-4.697749166,0.210647835
UniRef90_P06491_oligopeptide_32,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_33,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_34,0,-4.697749165,0.200843339
UniRef90_P06491_oligopeptide_35,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_36,1,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_38,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_39,1,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_4,2,-4.637543165,0.22113654
UniRef90_P06491_oligopeptide_40,0,-4.697749165,0.194775683
UniRef90_P06491_oligopeptide_41,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_42,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_43,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_44,1,-4.589831041,0.260811617
UniRef90_P06491_oligopeptide_45,2,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_46,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_47,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_48,2,-4.697749165,0.188729169
UniRef90_P06491_oligopeptide_49,0,-4.667646165,0.229791962
UniRef90_P06491_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P06491_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_11,0,-4.667646165,0.18096516
UniRef90_P06492_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_14,1,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_3,0,-4.637543166,0.176351788
UniRef90_P06492_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06492_oligopeptide_8,0,-4.697749166,0.198844698
UniRef90_P06492_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P06496_oligopeptide_1,0,-4.58983104,0.172556748
UniRef90_P06496_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06496_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06498_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06498_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06498_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P06500_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06500_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P06500_oligopeptide_11,1,-4.727852165,0.202964529
UniRef90_P06500_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P06500_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P06500_oligopeptide_15,2,-4.697749165,0.200843339
UniRef90_P06500_oligopeptide_16,0,-4.667646166,0.203720889
UniRef90_P06500_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P06500_oligopeptide_18,0,-4.697749165,0.200843339
UniRef90_P06500_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06500_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06500_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P06500_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06500_oligopeptide_6,1,-4.697749165,0.188729169
UniRef90_P06500_oligopeptide_7,2,-4.697749165,0.188729169
UniRef90_P06500_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P06500_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_1,1,-4.697749166,0.210647835
UniRef90_P06538_oligopeptide_11,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_13,0,-4.667646166,0.211877479
UniRef90_P06538_oligopeptide_14,1,-4.650037065,0.188855422
UniRef90_P06538_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_18,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_19,2,-4.499522041,0.181013128
UniRef90_P06538_oligopeptide_2,0,-4.60232484,0.192350073
UniRef90_P06538_oligopeptide_20,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_21,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_22,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_23,0,-4.667646166,0.248115925
UniRef90_P06538_oligopeptide_25,2,-4.650036965,0.211763814
UniRef90_P06538_oligopeptide_27,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_28,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_29,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_3,2,-4.697749165,0.200843339
UniRef90_P06538_oligopeptide_30,0,-4.697749165,0.200843339
UniRef90_P06538_oligopeptide_31,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_33,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_34,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_35,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_36,1,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_37,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P06538_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P06724_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06724_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06724_oligopeptide_3,0,-4.650036965,0.204425935
UniRef90_P06724_oligopeptide_4,1,-4.727852165,0.202964529
UniRef90_P06724_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06724_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06724_oligopeptide_7,0,-4.697749165,0.2091122
UniRef90_P06724_oligopeptide_8,0,-4.697749165,0.240801222
UniRef90_P06725_oligopeptide_1,0,-4.697749165,0.188729169
UniRef90_P06725_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_11,0,-4.60232484,0.292113414
UniRef90_P06725_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_14,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_15,2,-4.697749165,0.200843339
UniRef90_P06725_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_18,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_19,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_20,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P06725_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_11,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_14,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_17,1,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_18,4,-4.65003704,0.219509442
UniRef90_P06726_oligopeptide_19,1,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P06726_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_11,1,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_12,2,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_13,3,-4.667646165,0.229791962
UniRef90_P06763_oligopeptide_14,2,-4.559728066,0.19719771
UniRef90_P06763_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_16,0,-4.650036965,0.217169935
UniRef90_P06763_oligopeptide_18,2,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_19,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_22,4,-4.697749166,0.210647835
UniRef90_P06763_oligopeptide_23,1,-4.667646165,0.240011054
UniRef90_P06763_oligopeptide_24,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_25,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_26,0,-4.680139965,0.276059584
UniRef90_P06763_oligopeptide_27,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_29,0,-4.667646166,0.191788563
UniRef90_P06763_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_30,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_32,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_4,1,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_6,0,-4.619934066,0.172770171
UniRef90_P06763_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06763_oligopeptide_9,0,-4.697749165,0.188729169
UniRef90_P06788_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06788_oligopeptide_2,7,-4.667646166,0.201750756
UniRef90_P06788_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_11,0,-4.529624966,0.211369501
UniRef90_P06789_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_14,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_15,0,-4.559728066,0.18486837
UniRef90_P06789_oligopeptide_16,0,-4.697749165,0.200843339
UniRef90_P06789_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_18,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_19,2,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_2,1,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_20,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_21,0,-4.697749166,0.210647835
UniRef90_P06789_oligopeptide_22,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_23,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_8,1,-4.727852165,0.202964529
UniRef90_P06789_oligopeptide_9,2,-4.667646166,0.19774155
UniRef90_P06790_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06790_oligopeptide_11,0,-4.727852165,0.202964529
UniRef90_P06790_oligopeptide_12,1,-4.727852165,0.202964529
UniRef90_P06790_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P06790_oligopeptide_2,1,-4.667646165,0.187262535
UniRef90_P06790_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06790_oligopeptide_4,2,-4.727852165,0.202964529
UniRef90_P06790_oligopeptide_5,2,-4.727852165,0.202964529
UniRef90_P06790_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06790_oligopeptide_7,2,-4.727852165,0.202964529
UniRef90_P06790_oligopeptide_8,0,-4.697749165,0.188729169
UniRef90_P06790_oligopeptide_9,1,-4.727852165,0.202964529
UniRef90_P06791_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06791_oligopeptide_2,0,-4.607440165,0.21636266
UniRef90_P06791_oligopeptide_3,2,-4.697749166,0.210647835
UniRef90_P06792_oligopeptide_1,0,-4.697749165,0.194775683
UniRef90_P06792_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_11,0,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_14,0,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_2,1,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P06793_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P06794_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06794_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P06794_oligopeptide_11,1,-4.727852165,0.202964529
UniRef90_P06794_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P06794_oligopeptide_18,0,-4.727852165,0.202964529
UniRef90_P06794_oligopeptide_19,0,-4.727852165,0.202964529
UniRef90_P06794_oligopeptide_20,0,-4.727852165,0.202964529
UniRef90_P06794_oligopeptide_3,1,-4.667646165,0.190100644
UniRef90_P06794_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P06794_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06794_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06794_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06794_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P06794_oligopeptide_9,1,-4.697749166,0.198844698
UniRef90_P06817_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06817_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06817_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06820_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06820_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P06820_oligopeptide_11,0,-4.727852165,0.202964529
UniRef90_P06820_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P06820_oligopeptide_14,1,-4.727852165,0.202964529
UniRef90_P06820_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P06820_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P06820_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06820_oligopeptide_3,0,-4.667646166,0.201750756
UniRef90_P06820_oligopeptide_4,0,-4.697749165,0.188729169
UniRef90_P06820_oligopeptide_5,4,-4.65003704,0.195460824
UniRef90_P06820_oligopeptide_6,0,-4.607440166,0.269273509
UniRef90_P06820_oligopeptide_7,1,-4.727852165,0.202964529
UniRef90_P06820_oligopeptide_8,1,-4.727852165,0.202964529
UniRef90_P06820_oligopeptide_9,1,-4.727852165,0.202964529
UniRef90_P06821_oligopeptide_1,0,-4.667646166,0.248701491
UniRef90_P06821_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06821_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06828_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06828_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P06828_oligopeptide_11,1,-4.61993404,0.172459892
UniRef90_P06828_oligopeptide_12,0,-4.697749165,0.240801222
UniRef90_P06828_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P06828_oligopeptide_14,0,-4.657955165,0.255275783
UniRef90_P06828_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P06828_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P06828_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P06828_oligopeptide_18,1,-4.667646166,0.295878138
UniRef90_P06828_oligopeptide_19,3,-4.68014004,0.216731547
UniRef90_P06828_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06828_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06828_oligopeptide_4,4,-4.342118939,0.172271927
UniRef90_P06828_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06828_oligopeptide_6,1,-4.727852165,0.202964529
UniRef90_P06828_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06828_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P06828_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P06831_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_11,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_12,1,-4.697749165,0.200843339
UniRef90_P06856_oligopeptide_13,1,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_14,0,-4.650037066,0.189503481
UniRef90_P06856_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_18,1,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_19,1,-4.619934065,0.16807107
UniRef90_P06856_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_20,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_21,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_22,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_23,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_24,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_26,4,-4.469419041,0.180724267
UniRef90_P06856_oligopeptide_27,0,-4.68014004,0.216731547
UniRef90_P06856_oligopeptide_28,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_29,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_32,2,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_33,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_34,0,-4.667646165,0.174206513
UniRef90_P06856_oligopeptide_35,0,-4.697749165,0.188729169
UniRef90_P06856_oligopeptide_4,0,-4.589831066,0.288263942
UniRef90_P06856_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06856_oligopeptide_8,1,-4.45461274,0.176774958
UniRef90_P06856_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P06917_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P06917_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P06917_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P06917_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P06917_oligopeptide_14,1,-4.667646166,0.236659332
UniRef90_P06917_oligopeptide_15,3,-4.577337166,0.184658159
UniRef90_P06917_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P06917_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P06917_oligopeptide_18,0,-4.727852165,0.202964529
UniRef90_P06917_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P06917_oligopeptide_3,1,-4.697749165,0.194775683
UniRef90_P06917_oligopeptide_5,0,-4.680140065,0.201887797
UniRef90_P06917_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06917_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06917_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P06918_oligopeptide_1,1,-4.680139965,0.219633172
UniRef90_P06918_oligopeptide_10,0,-4.680140065,0.201887797
UniRef90_P06918_oligopeptide_11,2,-4.68014004,0.216731547
UniRef90_P06918_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P06918_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P06918_oligopeptide_14,0,-4.727852165,0.202964529
UniRef90_P06918_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P06918_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P06918_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P06918_oligopeptide_18,0,-4.727852165,0.202964529
UniRef90_P06918_oligopeptide_2,7,-4.727852165,0.202964529
UniRef90_P06918_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P06918_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P06918_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06918_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06918_oligopeptide_8,2,-4.453033366,0.254404137
UniRef90_P06918_oligopeptide_9,1,-4.727852165,0.202964529
UniRef90_P06920_oligopeptide_1,2,-4.727852165,0.202964529
UniRef90_P06920_oligopeptide_10,0,-4.667646165,0.174206513
UniRef90_P06920_oligopeptide_11,0,-4.727852165,0.202964529
UniRef90_P06920_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P06920_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P06920_oligopeptide_14,0,-4.727852165,0.202964529
UniRef90_P06920_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P06920_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P06920_oligopeptide_17,2,-4.637543166,0.229688769
UniRef90_P06920_oligopeptide_19,0,-4.667646165,0.196104876
UniRef90_P06920_oligopeptide_2,1,-4.697749166,0.198844698
UniRef90_P06920_oligopeptide_20,0,-4.727852165,0.202964529
UniRef90_P06920_oligopeptide_21,1,-4.697749165,0.194775683
UniRef90_P06920_oligopeptide_3,2,-4.607440165,0.199435667
UniRef90_P06920_oligopeptide_4,3,-4.550036966,0.18999963
UniRef90_P06920_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06920_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P06920_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06920_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P06920_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_11,1,-4.567646165,0.234519707
UniRef90_P06921_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_14,0,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_15,1,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_16,2,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_18,0,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_2,2,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_6,1,-4.602324866,0.20917295
UniRef90_P06921_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P06921_oligopeptide_9,0,-4.697749165,0.200843339
UniRef90_P06922_oligopeptide_1,0,-4.727852165,0.202964529
