olgnname,count,mean.control.log.signal,control.sd.log.signal,sample
UniRef90_P12926_oligopeptide_2,1,-4.628666,0.06972901,2
UniRef90_Q04542_oligopeptide_13,1,-4.628666,0.06972901,2
UniRef90_Q6WBA1_oligopeptide_11,1,-4.628666,0.06972901,2
UniRef90_Q9QLL6_oligopeptide_18,1,-4.628666,0.06972901,2
UniRef90_P16732_oligopeptide_13,1,-4.162967,0.468590258,2
UniRef90_P12577_oligopeptide_21,2,-4.436535,0.289372643,2
UniRef90_P17887_oligopeptide_23,2,-4.397122,0.196465498,2
UniRef90_P09250_oligopeptide_5,1,-4.42688,0.192790856,2
UniRef90_Q80958_oligopeptide_2,2,-4.327636,0.06972901,2
UniRef90_Q6DPK2_oligopeptide_5,1,-4.469229,0.144196012,2
UniRef90_P03314_oligopeptide_102,2,-4.296661,0.022282902,2
UniRef90_P22363_oligopeptide_5,2,-4.528046,0.676405372,2
UniRef90_P06856_oligopeptide_30,1,-4.469229,0.144196012,2
UniRef90_P19550_oligopeptide_25,1,-4.516158,0.08747136,2
UniRef90_P26140_oligopeptide_7,2,-4.528046,0.676405372,2
UniRef90_P04579_oligopeptide_11,1,-4.516158,0.08747136,2
UniRef90_Q8V294_oligopeptide_53,1,-4.516158,0.08747136,2
UniRef90_P69332_oligopeptide_1,1,-4.568778,0.018729435,2
UniRef90_Q5XX01_oligopeptide_52,1,-4.568778,0.018729435,2
UniRef90_A2T3R5_oligopeptide_11,1,-4.568778,0.018729435,2
UniRef90_O55779_oligopeptide_5,2,-4.397122,0.196465498,2
UniRef90_P0C6N0_oligopeptide_4,2,-4.327636,0.06972901,2
UniRef90_Q32ZE0_oligopeptide_100,1,-4.42688,0.192790856,2
UniRef90_P06473_oligopeptide_11,1,-4.516158,0.08747136,2
UniRef90_P05777_oligopeptide_7,2,-4.397122,0.196465498,2
UniRef90_P36744_oligopeptide_9,1,-4.568778,0.018729435,2
UniRef90_P03378_oligopeptide_17,2,-4.397122,0.196465498,2
UniRef90_P16788_oligopeptide_7,2,-4.267748,0.018729435,2
UniRef90_C5H431_oligopeptide_23,1,-4.469229,0.144196012,2
UniRef90_P19475_oligopeptide_10,2,-4.528046,0.676405372,2
UniRef90_Q9WT55_oligopeptide_3,2,-4.436535,0.289372643,2
UniRef90_Q69489_oligopeptide_4,1,-4.568778,0.018729435,2
UniRef90_Q5Y389_oligopeptide_60,1,-4.568778,0.018729435,2
UniRef90_P30026_oligopeptide_3,1,-4.568778,0.018729435,2
UniRef90_Q9QB97_oligopeptide_6,1,-4.568778,0.018729435,2
UniRef90_P16379_oligopeptide_11,2,-4.436535,0.289372643,2
UniRef90_P03458_oligopeptide_7,2,-4.528046,0.676405372,2
UniRef90_P07612_oligopeptide_5,2,-4.479885,0.42605126,2
UniRef90_P32990_oligopeptide_7,2,-4.296661,0.022282902,2
UniRef90_P09275_oligopeptide_11,2,-4.397122,0.196465498,2
UniRef90_A5HBD5_oligopeptide_12,1,-4.628666,0.06972901,2
UniRef90_O36633_oligopeptide_4,1,-4.628666,0.06972901,2
UniRef90_P03214_oligopeptide_9,1,-4.628666,0.06972901,2
UniRef90_P09275_oligopeptide_5,1,-4.628666,0.06972901,2
UniRef90_P36791_oligopeptide_7,1,-4.628666,0.06972901,2
UniRef90_Q68798_oligopeptide_52,1,-4.628666,0.06972901,2
UniRef90_Q9WC57_oligopeptide_3,1,-4.628666,0.06972901,2
UniRef90_P29813_oligopeptide_22,2,-4.436535,0.289372643,2
UniRef90_P0DJX0_oligopeptide_4,1,-4.568778,0.018729435,2
UniRef90_Q306W8_oligopeptide_88,1,-4.469229,0.144196012,2
UniRef90_Q02049_oligopeptide_18,1,-4.568778,0.018729435,2
UniRef90_P26629_oligopeptide_14,1,-4.516158,0.08747136,2
UniRef90_P13285_oligopeptide_17,1,-4.516158,0.08747136,2
UniRef90_Q8V7G5_oligopeptide_8,2,-4.397122,0.196465498,2
UniRef90_P50639_oligopeptide_3,2,-4.069189,0.255076555,2
UniRef90_P05666_oligopeptide_1,2,-4.479885,0.42605126,2
UniRef90_O91079_oligopeptide_14,1,-4.628666,0.06972901,2
UniRef90_P26451_oligopeptide_27,1,-4.628666,0.06972901,2
UniRef90_Q07846_oligopeptide_4,1,-4.628666,0.06972901,2
UniRef90_P03198_oligopeptide_35,1,-4.568778,0.018729435,2
UniRef90_B3SRU4_oligopeptide_5,1,-4.628666,0.06972901,2
UniRef90_P10545_oligopeptide_7,1,-4.469229,0.144196012,2
UniRef90_P52519_oligopeptide_4,2,-4.479885,0.42605126,2
UniRef90_O11283_oligopeptide_17,2,-4.479885,0.42605126,2
UniRef90_O09705_oligopeptide_16,2,-4.215128,0.08747136,2
UniRef90_Q9YID8_oligopeptide_70,1,-4.568778,0.018729435,2
UniRef90_Q5MQD0_oligopeptide_21,1,-4.568778,0.018729435,2
UniRef90_Q4U0X6_oligopeptide_48,1,-4.516158,0.08747136,2
UniRef90_P27959_oligopeptide_16,1,-4.568778,0.018729435,2
UniRef90_Q82994_oligopeptide_3,1,-4.568778,0.018729435,2
UniRef90_P21737_oligopeptide_8,1,-4.469229,0.144196012,2
UniRef90_P06418_oligopeptide_8,1,-4.568778,0.018729435,2
UniRef90_O09705_oligopeptide_69,1,-4.568778,0.018729435,2
UniRef90_O57248_oligopeptide_3,1,-4.568778,0.018729435,2
UniRef90_O12164_oligopeptide_6,2,-4.360991,0.126253364,2
UniRef90_Q66790_oligopeptide_10,1,-4.516158,0.08747136,2
UniRef90_P04288_oligopeptide_6,1,-4.568778,0.018729435,2
UniRef90_P03523_oligopeptide_49,1,-4.568778,0.018729435,2
UniRef90_Q00701_oligopeptide_24,1,-4.568778,0.018729435,2
UniRef90_O12158_oligopeptide_21,2,-4.296661,0.022282902,2
UniRef90_P10541_oligopeptide_7,1,-4.628666,0.06972901,2
UniRef90_Q04916_oligopeptide_23,1,-4.628666,0.06972901,2
UniRef90_O39927_oligopeptide_97,1,-4.628666,0.06972901,2
UniRef90_P17887_oligopeptide_6,1,-4.628666,0.06972901,2
UniRef90_Q5Y389_oligopeptide_84,1,-4.628666,0.06972901,2
UniRef90_Q86108_oligopeptide_12,1,-4.628666,0.06972901,2
UniRef90_Q80915_oligopeptide_10,1,-4.568778,0.018729435,2
UniRef90_Q45UF9_oligopeptide_13,3,-4.303794,0.42605126,2
UniRef90_P27153_oligopeptide_24,2,-4.215128,0.08747136,2
UniRef90_P05880_oligopeptide_1,1,-4.568778,0.018729435,2
UniRef90_Q4JQX9_oligopeptide_21,1,-4.388297,0.235484825,2
UniRef90_P29813_oligopeptide_12,2,-4.360991,0.126253364,2
UniRef90_P12577_oligopeptide_12,1,-4.289643,0.340020613,2
UniRef90_P10202_oligopeptide_8,2,-4.528046,0.676405372,2
UniRef90_P03431_oligopeptide_25,1,-4.568778,0.018729435,2
UniRef90_Q98262_oligopeptide_10,1,-4.388297,0.235484825,2
UniRef90_O57233_oligopeptide_9,2,-4.296661,0.022282902,2
UniRef90_P50773_oligopeptide_12,1,-4.516158,0.08747136,2
UniRef90_P03200_oligopeptide_20,1,-4.628666,0.06972901,2
UniRef90_P18094_oligopeptide_22,1,-4.628666,0.06972901,2
UniRef90_Q00682_oligopeptide_7,1,-4.628666,0.06972901,2
UniRef90_Q9QJ36_oligopeptide_15,1,-4.352863,0.2736758,2
UniRef90_P04665_oligopeptide_11,1,-4.469229,0.144196012,2
UniRef90_P16715_oligopeptide_26,2,-4.360991,0.126253364,2
UniRef90_O36634_oligopeptide_20,1,-4.516158,0.08747136,2
UniRef90_P89432_oligopeptide_12,1,-4.568778,0.018729435,2
UniRef90_Q74126_oligopeptide_15,1,-4.568778,0.018729435,2
UniRef90_Q5Y389_oligopeptide_21,1,-4.42688,0.192790856,2
UniRef90_P03200_oligopeptide_16,1,-4.628666,0.06972901,2
UniRef90_P08411_oligopeptide_22,1,-4.628666,0.06972901,2
UniRef90_P0C6U5_oligopeptide_50,1,-4.628666,0.06972901,2
UniRef90_P29165_oligopeptide_10,1,-4.628666,0.06972901,2
UniRef90_P0CAP7_oligopeptide_8,1,-4.289643,0.340020613,2
UniRef90_O09705_oligopeptide_9,1,-4.516158,0.08747136,2
UniRef90_Q68749_oligopeptide_69,1,-4.568778,0.018729435,2
UniRef90_O55778_oligopeptide_14,1,-4.628666,0.06972901,2
UniRef90_P24759_oligopeptide_12,1,-4.628666,0.06972901,2
UniRef90_P52344_oligopeptide_5,1,-4.628666,0.06972901,2
UniRef90_Q32ZD5_oligopeptide_3,1,-4.628666,0.06972901,2
UniRef90_Q8B9Q8_oligopeptide_9,1,-4.628666,0.06972901,2
UniRef90_P0C5B5_oligopeptide_6,2,-4.528046,0.676405372,2
UniRef90_Q6Q1S2_oligopeptide_24,1,-4.469229,0.144196012,2
UniRef90_P21737_oligopeptide_17,2,-4.479885,0.42605126,2
UniRef90_P0C6X3_oligopeptide_206,1,-4.568778,0.018729435,2
UniRef90_Q86197_oligopeptide_9,2,-4.296661,0.022282902,2
UniRef90_P03431_oligopeptide_8,2,-4.479885,0.42605126,2
UniRef90_Q9QAX1_oligopeptide_8,2,-4.397122,0.196465498,2
UniRef90_P31352_oligopeptide_39,1,-4.628666,0.06972901,2
UniRef90_P36711_oligopeptide_1,1,-4.628666,0.06972901,2
UniRef90_Q68749_oligopeptide_52,1,-4.628666,0.06972901,2
UniRef90_Q9J3N5_oligopeptide_26,1,-4.628666,0.06972901,2
UniRef90_Q66431_oligopeptide_118,3,-4.173494,0.106175816,2
UniRef90_P17763_oligopeptide_90,2,-4.296661,0.022282902,2
UniRef90_P09724_oligopeptide_11,2,-4.479885,0.42605126,2
UniRef90_Q9QLL6_oligopeptide_27,1,-4.628666,0.06972901,2
UniRef90_Q9YWQ3_oligopeptide_3,1,-4.628666,0.06972901,2
UniRef90_O73556_oligopeptide_72,1,-4.628666,0.06972901,2
UniRef90_P36290_oligopeptide_18,1,-4.628666,0.06972901,2
UniRef90_Q6SW48_oligopeptide_6,1,-4.628666,0.06972901,2
UniRef90_F5HGU6_oligopeptide_2,1,-4.388297,0.235484825,2
UniRef90_P12491_oligopeptide_5,3,-4.196613,0.147819609,2
UniRef90_Q4JQX9_oligopeptide_70,1,-4.568778,0.018729435,2
UniRef90_P03300_oligopeptide_22,1,-4.628666,0.06972901,2
UniRef90_P06939_oligopeptide_1,1,-4.516158,0.08747136,2
UniRef90_P21404_oligopeptide_3,2,-4.528046,0.676405372,2
UniRef90_P52439_oligopeptide_11,1,-4.516158,0.08747136,2
UniRef90_P28887_oligopeptide_53,1,-4.516158,0.08747136,2
UniRef90_Q05320_oligopeptide_14,1,-4.628666,0.06972901,2
UniRef90_P03101_oligopeptide_15,4,-4.077651,0.159235619,2
UniRef90_Q83883_oligopeptide_19,1,-4.469229,0.144196012,2
UniRef90_P09273_oligopeptide_14,1,-4.568778,0.018729435,2
UniRef90_P14351_oligopeptide_14,1,-4.568778,0.018729435,2
UniRef90_Q9PY95_oligopeptide_10,2,-4.436535,0.289372643,2
UniRef90_O12157_oligopeptide_7,1,-4.628666,0.06972901,2
UniRef90_Q05127_oligopeptide_3,1,-4.628666,0.06972901,2
UniRef90_Q5Y389_oligopeptide_4,1,-4.628666,0.06972901,2
UniRef90_Q9QR71_oligopeptide_5,1,-4.628666,0.06972901,2
UniRef90_P16740_oligopeptide_5,1,-4.628666,0.06972901,2
UniRef90_P16780_oligopeptide_5,1,-4.628666,0.06972901,2
UniRef90_P36852_oligopeptide_15,1,-4.628666,0.06972901,2
UniRef90_Q6XQI4_oligopeptide_70,1,-4.469229,0.144196012,2
UniRef90_P03317_oligopeptide_48,1,-4.628666,0.06972901,2
UniRef90_Q9QBZ4_oligopeptide_5,1,-4.628666,0.06972901,2
UniRef90_Q8JPX5_oligopeptide_50,1,-4.568778,0.018729435,2
UniRef90_P03273_oligopeptide_5,2,-4.436535,0.289372643,2
UniRef90_Q02004_oligopeptide_41,2,-4.360991,0.126253364,2
UniRef90_P0C6X5_oligopeptide_150,1,-4.568778,0.018729435,2
UniRef90_Q09SZ7_oligopeptide_15,2,-4.397122,0.196465498,2
UniRef90_O12792_oligopeptide_1,1,-4.628666,0.06972901,2
UniRef90_P03452_oligopeptide_3,1,-4.628666,0.06972901,2
UniRef90_P36744_oligopeptide_15,1,-4.628666,0.06972901,2
UniRef90_Q6J8G2_oligopeptide_37,1,-4.628666,0.06972901,2
UniRef90_P52543_oligopeptide_18,2,-4.436535,0.289372643,2
UniRef90_Q45UF7_oligopeptide_11,1,-4.628666,0.06972901,2
UniRef90_Q8JSZ3_oligopeptide_30,2,-4.397122,0.196465498,2
UniRef90_P89436_oligopeptide_7,1,-4.628666,0.06972901,2
UniRef90_Q9QBZ4_oligopeptide_1,1,-4.628666,0.06972901,2
UniRef90_Q50LE6_oligopeptide_4,2,-4.479885,0.42605126,2
UniRef90_Q82122_oligopeptide_26,1,-4.516158,0.08747136,2
UniRef90_P27961_oligopeptide_11,1,-4.469229,0.144196012,2
UniRef90_Q79670_oligopeptide_4,1,-4.628666,0.06972901,2
UniRef90_Q9INI1_oligopeptide_7,1,-4.628666,0.06972901,2
UniRef90_O89343_oligopeptide_4,1,-4.469229,0.144196012,2
UniRef90_Q9YWQ2_oligopeptide_1,1,-4.628666,0.06972901,2
UniRef90_P36811_oligopeptide_3,3,-4.173494,0.106175816,2
UniRef90_Q90037_oligopeptide_13,2,-4.479885,0.42605126,2
UniRef90_Q79670_oligopeptide_30,1,-4.516158,0.08747136,2
UniRef90_P36714_oligopeptide_21,1,-4.469229,0.144196012,2
UniRef90_O39928_oligopeptide_22,1,-4.516158,0.08747136,2
UniRef90_P17517_oligopeptide_2,1,-4.568778,0.018729435,2
UniRef90_P50793_oligopeptide_4,1,-4.516158,0.08747136,2
UniRef90_Q32ZE0_oligopeptide_21,1,-4.568778,0.018729435,2
UniRef90_P0DKA8_oligopeptide_6,1,-4.568778,0.018729435,2
UniRef90_Q75008_oligopeptide_30,2,-4.436535,0.289372643,2
UniRef90_P15190_oligopeptide_15,2,-4.528046,0.676405372,2
UniRef90_Q9QJ43_oligopeptide_1,1,-4.568778,0.018729435,2
UniRef90_P13179_oligopeptide_70,3,-4.091657,0.018729435,2
UniRef90_F5HAY6_oligopeptide_7,1,-4.516158,0.08747136,2
UniRef90_P07975_oligopeptide_16,2,-4.479885,0.42605126,2
UniRef90_P16761_oligopeptide_20,1,-4.469229,0.144196012,2
UniRef90_Q02004_oligopeptide_45,1,-4.568778,0.018729435,2
UniRef90_Q8JPX5_oligopeptide_42,2,-4.360991,0.126253364,2
UniRef90_P29192_oligopeptide_10,1,-4.469229,0.144196012,2
UniRef90_Q9DYE0_oligopeptide_3,3,-4.369274,0.831599697,2
UniRef90_P03224_oligopeptide_6,2,-4.267748,0.018729435,2
UniRef90_P31352_oligopeptide_79,1,-4.568778,0.018729435,2
UniRef90_P35974_oligopeptide_6,2,-4.397122,0.196465498,2
UniRef90_P03172_oligopeptide_9,1,-4.42688,0.192790856,2
UniRef90_F5HGP1_oligopeptide_8,2,-4.360991,0.126253364,2
UniRef90_P03188_oligopeptide_20,1,-4.628666,0.06972901,2
UniRef90_P28887_oligopeptide_51,1,-4.628666,0.06972901,2
UniRef90_P03378_oligopeptide_30,1,-4.568778,0.018729435,2
UniRef90_P30005_oligopeptide_13,2,-4.479885,0.42605126,2
UniRef90_Q01219_oligopeptide_5,1,-4.568778,0.018729435,2
UniRef90_P28887_oligopeptide_69,1,-4.568778,0.018729435,2
UniRef90_P04305_oligopeptide_12,2,-4.215128,0.08747136,2
UniRef90_Q00071_oligopeptide_19,1,-4.628666,0.06972901,2
UniRef90_Q02048_oligopeptide_2,1,-4.628666,0.06972901,2
UniRef90_P04497_oligopeptide_3,1,-4.568778,0.018729435,2
UniRef90_P12576_oligopeptide_41,1,-4.516158,0.08747136,2
UniRef90_P06763_oligopeptide_31,2,-4.397122,0.196465498,2
UniRef90_P15423_oligopeptide_39,2,-4.479885,0.42605126,2
UniRef90_F5HB41_oligopeptide_10,1,-4.628666,0.06972901,2
UniRef90_Q9WC63_oligopeptide_42,1,-4.628666,0.06972901,2
UniRef90_P17462_oligopeptide_29,1,-4.42688,0.192790856,2
UniRef90_Q05112_oligopeptide_4,1,-4.628666,0.06972901,2
UniRef90_P36852_oligopeptide_9,2,-4.436535,0.289372643,2
UniRef90_C5H431_oligopeptide_47,1,-4.568778,0.018729435,2
UniRef90_P16788_oligopeptide_5,1,-4.568778,0.018729435,2
UniRef90_P21601_oligopeptide_3,1,-4.628666,0.06972901,2
UniRef90_Q9ENK7_oligopeptide_11,1,-4.568778,0.018729435,2
UniRef90_P10236_oligopeptide_6,1,-4.628666,0.06972901,2
UniRef90_Q74125_oligopeptide_2,1,-4.628666,0.06972901,2
UniRef90_Q9QB92_oligopeptide_6,1,-4.628666,0.06972901,2
UniRef90_P36796_oligopeptide_7,1,-4.568778,0.018729435,2
UniRef90_P26015_oligopeptide_13,1,-4.628666,0.06972901,2
UniRef90_Q02048_oligopeptide_17,2,-4.436535,0.289372643,2
UniRef90_P87515_oligopeptide_20,1,-4.568778,0.018729435,2
UniRef90_O89940_oligopeptide_14,1,-4.568778,0.018729435,2
UniRef90_O09705_oligopeptide_50,1,-4.568778,0.018729435,2
UniRef90_Q45UG0_oligopeptide_21,1,-4.628666,0.06972901,2
UniRef90_P04585_oligopeptide_47,1,-4.568778,0.018729435,2
UniRef90_P52352_oligopeptide_10,1,-4.42688,0.192790856,2
UniRef90_Q306W8_oligopeptide_40,1,-4.628666,0.06972901,2
UniRef90_Q66431_oligopeptide_86,2,-4.397122,0.196465498,2
UniRef90_P15155_oligopeptide_23,2,-4.267748,0.018729435,2
UniRef90_P17887_oligopeptide_43,1,-4.568778,0.018729435,2
UniRef90_Q9YID8_oligopeptide_48,2,-4.397122,0.196465498,2
UniRef90_Q2HR83_oligopeptide_5,2,-4.240642,0.054952206,2
UniRef90_Q07272_oligopeptide_8,1,-4.516158,0.08747136,2
UniRef90_Q9QBZ0_oligopeptide_15,2,-4.12585,0.192790856,2
UniRef90_Q9Q720_oligopeptide_16,2,-4.436535,0.289372643,2
UniRef90_A8C8W6_oligopeptide_16,1,-4.698152,0.196465498,2
UniRef90_B1NKT1_oligopeptide_16,1,-4.698152,0.196465498,2
UniRef90_B2C4J0_oligopeptide_13,1,-4.698152,0.196465498,2
UniRef90_B3SRQ7_oligopeptide_11,1,-4.698152,0.196465498,2
UniRef90_C5H431_oligopeptide_59,1,-4.698152,0.196465498,2
UniRef90_F5HC79_oligopeptide_2,1,-4.698152,0.196465498,2
UniRef90_F5HFD2_oligopeptide_25,1,-4.698152,0.196465498,2
UniRef90_F5HIN0_oligopeptide_15,1,-4.698152,0.196465498,2
UniRef90_O09705_oligopeptide_11,1,-4.698152,0.196465498,2
UniRef90_O12157_oligopeptide_15,1,-4.698152,0.196465498,2
UniRef90_O12164_oligopeptide_10,1,-4.698152,0.196465498,2
UniRef90_O36634_oligopeptide_6,1,-4.698152,0.196465498,2
UniRef90_O55777_oligopeptide_13,1,-4.698152,0.196465498,2
UniRef90_O73556_oligopeptide_48,1,-4.698152,0.196465498,2
UniRef90_O73556_oligopeptide_69,1,-4.698152,0.196465498,2
UniRef90_O73579_oligopeptide_12,1,-4.698152,0.196465498,2
UniRef90_O89292_oligopeptide_4,1,-4.698152,0.196465498,2
UniRef90_O89940_oligopeptide_10,1,-4.698152,0.196465498,2
UniRef90_O89940_oligopeptide_15,1,-4.698152,0.196465498,2
UniRef90_O90370_oligopeptide_32,1,-4.698152,0.196465498,2
UniRef90_O91086_oligopeptide_4,1,-4.698152,0.196465498,2
UniRef90_O92530_oligopeptide_56,1,-4.698152,0.196465498,2
UniRef90_O92531_oligopeptide_77,1,-4.698152,0.196465498,2
UniRef90_P03139_oligopeptide_4,1,-4.698152,0.196465498,2
UniRef90_P03156_oligopeptide_8,1,-4.698152,0.196465498,2
UniRef90_P03186_oligopeptide_79,1,-4.698152,0.196465498,2
UniRef90_P03215_oligopeptide_8,1,-4.698152,0.196465498,2
UniRef90_P03217_oligopeptide_4,1,-4.698152,0.196465498,2
UniRef90_P03217_oligopeptide_9,1,-4.698152,0.196465498,2
UniRef90_P03262_oligopeptide_10,1,-4.698152,0.196465498,2
UniRef90_P03285_oligopeptide_1,1,-4.698152,0.196465498,2
UniRef90_P03302_oligopeptide_38,1,-4.698152,0.196465498,2
UniRef90_P03314_oligopeptide_109,1,-4.698152,0.196465498,2
UniRef90_P03317_oligopeptide_75,1,-4.698152,0.196465498,2
UniRef90_P03345_oligopeptide_12,1,-4.698152,0.196465498,2
UniRef90_P03363_oligopeptide_23,1,-4.698152,0.196465498,2
UniRef90_P03363_oligopeptide_51,1,-4.698152,0.196465498,2
UniRef90_P03468_oligopeptide_4,1,-4.698152,0.196465498,2
UniRef90_P03532_oligopeptide_11,1,-4.698152,0.196465498,2
UniRef90_P04298_oligopeptide_7,1,-4.698152,0.196465498,2
UniRef90_P04611_oligopeptide_2,1,-4.698152,0.196465498,2
UniRef90_P04875_oligopeptide_3,1,-4.698152,0.196465498,2
UniRef90_P05880_oligopeptide_17,1,-4.698152,0.196465498,2
UniRef90_P05883_oligopeptide_21,1,-4.698152,0.196465498,2
UniRef90_P05888_oligopeptide_18,1,-4.698152,0.196465498,2
UniRef90_P05889_oligopeptide_13,1,-4.698152,0.196465498,2
UniRef90_P06473_oligopeptide_15,1,-4.698152,0.196465498,2
UniRef90_P06477_oligopeptide_3,1,-4.698152,0.196465498,2
UniRef90_P06491_oligopeptide_23,1,-4.698152,0.196465498,2
UniRef90_P06917_oligopeptide_11,1,-4.698152,0.196465498,2
UniRef90_P06918_oligopeptide_7,1,-4.698152,0.196465498,2
UniRef90_P07392_oligopeptide_26,1,-4.698152,0.196465498,2
UniRef90_P07392_oligopeptide_6,1,-4.698152,0.196465498,2
UniRef90_P08393_oligopeptide_23,1,-4.698152,0.196465498,2
UniRef90_P08411_oligopeptide_24,1,-4.698152,0.196465498,2
UniRef90_P08492_oligopeptide_9,1,-4.698152,0.196465498,2
UniRef90_P09260_oligopeptide_4,1,-4.698152,0.196465498,2
UniRef90_P09299_oligopeptide_26,1,-4.698152,0.196465498,2
UniRef90_P09592_oligopeptide_22,1,-4.698152,0.196465498,2
UniRef90_P09592_oligopeptide_42,1,-4.698152,0.196465498,2
UniRef90_P09612_oligopeptide_34,1,-4.698152,0.196465498,2
UniRef90_P09613_oligopeptide_20,1,-4.698152,0.196465498,2
UniRef90_P09732_oligopeptide_45,1,-4.698152,0.196465498,2
UniRef90_P09866_oligopeptide_113,1,-4.698152,0.196465498,2
UniRef90_P09866_oligopeptide_34,1,-4.698152,0.196465498,2
UniRef90_P09992_oligopeptide_9,1,-4.698152,0.196465498,2
UniRef90_P0C6U2_oligopeptide_137,1,-4.698152,0.196465498,2
UniRef90_P0C6U2_oligopeptide_40,1,-4.698152,0.196465498,2
UniRef90_P0C6U4_oligopeptide_145,1,-4.698152,0.196465498,2
UniRef90_P0C6U4_oligopeptide_158,1,-4.698152,0.196465498,2
UniRef90_P0C6U4_oligopeptide_89,1,-4.698152,0.196465498,2
UniRef90_P0C6U6_oligopeptide_24,1,-4.698152,0.196465498,2
UniRef90_P0C6X4_oligopeptide_252,1,-4.698152,0.196465498,2
UniRef90_P0C6X6_oligopeptide_197,1,-4.698152,0.196465498,2
UniRef90_P0C6X6_oligopeptide_235,1,-4.698152,0.196465498,2
UniRef90_P0C6X7_oligopeptide_221,1,-4.698152,0.196465498,2
UniRef90_P0C6Z3_oligopeptide_2,1,-4.698152,0.196465498,2
UniRef90_P0C705_oligopeptide_10,1,-4.698152,0.196465498,2
UniRef90_P0CK58_oligopeptide_2,1,-4.698152,0.196465498,2
UniRef90_P0DKA6_oligopeptide_4,1,-4.698152,0.196465498,2
UniRef90_P0DOD5_oligopeptide_7,1,-4.698152,0.196465498,2
UniRef90_P10501_oligopeptide_10,1,-4.698152,0.196465498,2
UniRef90_P11227_oligopeptide_10,1,-4.698152,0.196465498,2
UniRef90_P11468_oligopeptide_2,1,-4.698152,0.196465498,2
UniRef90_P11485_oligopeptide_5,1,-4.698152,0.196465498,2
UniRef90_P12455_oligopeptide_3,1,-4.698152,0.196465498,2
UniRef90_P13200_oligopeptide_3,1,-4.698152,0.196465498,2
UniRef90_P13293_oligopeptide_2,1,-4.698152,0.196465498,2
UniRef90_P13896_oligopeptide_78,1,-4.698152,0.196465498,2
UniRef90_P14240_oligopeptide_22,1,-4.698152,0.196465498,2
UniRef90_P14240_oligopeptide_41,1,-4.698152,0.196465498,2
UniRef90_P14336_oligopeptide_100,1,-4.698152,0.196465498,2
UniRef90_P14336_oligopeptide_105,1,-4.698152,0.196465498,2
UniRef90_P14336_oligopeptide_2,1,-4.698152,0.196465498,2
UniRef90_P14336_oligopeptide_73,1,-4.698152,0.196465498,2
UniRef90_P16285_oligopeptide_9,1,-4.698152,0.196465498,2
UniRef90_P16289_oligopeptide_36,1,-4.698152,0.196465498,2
UniRef90_P16379_oligopeptide_17,1,-4.698152,0.196465498,2
UniRef90_P16602_oligopeptide_41,1,-4.698152,0.196465498,2
UniRef90_P16798_oligopeptide_5,1,-4.698152,0.196465498,2
UniRef90_P16813_oligopeptide_4,1,-4.698152,0.196465498,2
UniRef90_P16832_oligopeptide_8,1,-4.698152,0.196465498,2
UniRef90_P17462_oligopeptide_17,1,-4.698152,0.196465498,2
UniRef90_P17462_oligopeptide_8,1,-4.698152,0.196465498,2
UniRef90_P17887_oligopeptide_39,1,-4.698152,0.196465498,2
UniRef90_P18040_oligopeptide_7,1,-4.698152,0.196465498,2
UniRef90_P18875_oligopeptide_1,1,-4.698152,0.196465498,2
UniRef90_P21066_oligopeptide_6,1,-4.698152,0.196465498,2
UniRef90_P21604_oligopeptide_26,1,-4.698152,0.196465498,2
UniRef90_P22026_oligopeptide_6,1,-4.698152,0.196465498,2
UniRef90_P22055_oligopeptide_50,1,-4.698152,0.196465498,2
UniRef90_P23008_oligopeptide_41,1,-4.698152,0.196465498,2
UniRef90_P23074_oligopeptide_26,1,-4.698152,0.196465498,2
UniRef90_P24836_oligopeptide_1,1,-4.698152,0.196465498,2
UniRef90_P26539_oligopeptide_5,1,-4.698152,0.196465498,2
UniRef90_P27222_oligopeptide_8,1,-4.698152,0.196465498,2
UniRef90_P27234_oligopeptide_16,1,-4.698152,0.196465498,2
UniRef90_P27958_oligopeptide_76,1,-4.698152,0.196465498,2
UniRef90_P27964_oligopeptide_4,1,-4.698152,0.196465498,2
UniRef90_P28833_oligopeptide_4,1,-4.698152,0.196465498,2
UniRef90_P28857_oligopeptide_15,1,-4.698152,0.196465498,2
UniRef90_P28857_oligopeptide_29,1,-4.698152,0.196465498,2
UniRef90_P29813_oligopeptide_11,1,-4.698152,0.196465498,2
UniRef90_P29837_oligopeptide_68,1,-4.698152,0.196465498,2
UniRef90_P29990_oligopeptide_112,1,-4.698152,0.196465498,2
UniRef90_P30003_oligopeptide_1,1,-4.698152,0.196465498,2
UniRef90_P30005_oligopeptide_12,1,-4.698152,0.196465498,2
UniRef90_P30005_oligopeptide_4,1,-4.698152,0.196465498,2
UniRef90_P30928_oligopeptide_4,1,-4.698152,0.196465498,2
UniRef90_P32537_oligopeptide_11,1,-4.698152,0.196465498,2
UniRef90_P32537_oligopeptide_59,1,-4.698152,0.196465498,2
UniRef90_P32540_oligopeptide_15,1,-4.698152,0.196465498,2
UniRef90_P32540_oligopeptide_9,1,-4.698152,0.196465498,2
UniRef90_P33453_oligopeptide_71,1,-4.698152,0.196465498,2
UniRef90_P33807_oligopeptide_10,1,-4.698152,0.196465498,2
UniRef90_P35974_oligopeptide_15,1,-4.698152,0.196465498,2
UniRef90_P36722_oligopeptide_17,1,-4.698152,0.196465498,2
